view	deepest_kept	deepest_top256	deepest_top128	deepest_top5_picks	chosen_depth
am1_window_00_frame_54	2859	875	501	-	template
am2_window_00_frame_150	2027	307	223	21	5
am2_window_01_frame_28019	3803	450	309	103	7
am3_window_00_frame_0	2981	366	149	95	77
am3_window_02_frame_17174	2466	1193	459	75	1
gxBQ_window_00_frame_0	3459	175	107	7	3
gxBQ_window_00_frame_5	3469	355	209	9	template
gxBQ_window_00_frame_689	2929	219	149	29	template
gxBQ_window_03_frame_77876	3143	385	227	13	template
letterboxed_short_frame_78	1177	1017	459	31	7
shuttleset_03_scene_0016	2815	625	327	17	12
shuttleset_03_scene_0017	4511	323	203	63	7
shuttleset_03_scene_0019	3551	985	661	311	189
shuttleset_03_scene_0023	2565	879	491	147	147
shuttleset_03_scene_0032	3160	1051	635	233	51
shuttleset_03_scene_0034	2239	803	475	13	13
shuttleset_21_scene_0034	3725	1211	705	53	53
shuttleset_21_scene_0039	3445	1181	617	159	121
shuttleset_21_scene_0044	1915	1055	597	59	1
sset_21_gloiZ_gTJaE_frame_00000001	3613	429	163	109	9
sset_21_gloiZ_gTJaE_frame_00014336	1081	289	157	85	45
sset_21_gloiZ_gTJaE_frame_00038228	91	91	91	-	-
sset_21_gloiZ_gTJaE_frame_00100347	2095	677	291	367	49
