view	deepest_kept	deepest_top256	deepest_top128	deepest_top5_picks	chosen_depth
am1_window_00_frame_54	8839	2283	1325	-	template
am2_window_00_frame_150	8787	367	251	87	25
am2_window_01_frame_28019	9273	964	335	189	41
am3_window_00_frame_0	5255	1731	207	153	83
am3_window_02_frame_17174	12474	2023	757	77	11
gxBQ_window_00_frame_0	10226	397	205	17	3
gxBQ_window_00_frame_5	8809	837	369	13	template
gxBQ_window_00_frame_689	13712	485	427	65	template
gxBQ_window_03_frame_77876	12853	833	293	23	template
letterboxed_short_frame_78	7141	2035	975	31	15
shuttleset_03_scene_0016	12916	725	521	31	12
shuttleset_03_scene_0017	9958	573	259	71	29
shuttleset_03_scene_0019	10187	1211	739	403	341
shuttleset_03_scene_0023	11957	977	679	219	219
shuttleset_03_scene_0032	10776	1365	713	387	147
shuttleset_03_scene_0034	12244	885	577	19	19
shuttleset_21_scene_0034	22863	1841	787	87	87
shuttleset_21_scene_0039	12507	1771	1025	209	151
shuttleset_21_scene_0044	5669	1455	763	65	1
sset_21_gloiZ_gTJaE_frame_00000001	20887	529	275	97	9
sset_21_gloiZ_gTJaE_frame_00014336	1479	443	353	63	63
sset_21_gloiZ_gTJaE_frame_00038228	91	91	91	-	-
sset_21_gloiZ_gTJaE_frame_00100347	14649	1285	569	319	33
