window_id,rally_id,edge,window_start,window_end,row_kind,gt_frame,candidate_frame,offset_frames
0,0,first,12681,12862,matched,12771,12766,-5
0,0,first,12681,12862,unmatched_candidate,,12834,
0,0,first,12681,12862,unmatched_candidate,,12850,
1,0,last,13055,13236,matched,13145,13144,-1
1,0,last,13055,13236,unmatched_candidate,,13066,
1,0,last,13055,13236,unmatched_candidate,,13096,
1,0,last,13055,13236,unmatched_candidate,,13114,
1,0,last,13055,13236,unmatched_candidate,,13185,
1,0,last,13055,13236,unmatched_candidate,,13200,
1,0,last,13055,13236,unmatched_candidate,,13214,
2,1,first,13547,13728,matched,13637,13636,-1
2,1,first,13547,13728,unmatched_candidate,,13568,
2,1,first,13547,13728,unmatched_candidate,,13601,
2,1,first,13547,13728,unmatched_candidate,,13612,
2,1,first,13547,13728,unmatched_candidate,,13693,
2,1,first,13547,13728,unmatched_candidate,,13723,
3,1,last,13948,14129,matched,14038,14036,-2
3,1,last,13948,14129,unmatched_candidate,,13979,
3,1,last,13948,14129,unmatched_candidate,,14008,
3,1,last,13948,14129,unmatched_candidate,,14054,
4,2,first,14461,14621,matched,14551,14553,2
4,2,first,14461,14621,unmatched_candidate,,14568,
5,2,last,14621,14781,matched,14690,14689,-1
5,2,last,14621,14781,unmatched_candidate,,14625,
5,2,last,14621,14781,unmatched_candidate,,14640,
5,2,last,14621,14781,unmatched_candidate,,14718,
6,3,first,15085,15209,unmatched_gt,15175,,
7,3,last,15209,15332,matched,15241,15278,37
7,3,last,15209,15332,unmatched_candidate,,15297,
8,4,first,15643,15824,matched,15733,15734,1
8,4,first,15643,15824,unmatched_candidate,,15721,
8,4,first,15643,15824,unmatched_candidate,,15798,
8,4,first,15643,15824,unmatched_candidate,,15818,
9,4,last,15921,16102,matched,16011,16010,-1
9,4,last,15921,16102,unmatched_candidate,,15940,
9,4,last,15921,16102,unmatched_candidate,,15984,
9,4,last,15921,16102,unmatched_candidate,,16043,
9,4,last,15921,16102,unmatched_candidate,,16062,
10,5,first,16416,16597,matched,16506,16509,3
10,5,first,16416,16597,unmatched_candidate,,16574,
10,5,first,16416,16597,unmatched_candidate,,16583,
