rally_id,tolerance_base30,tolerance_frames,row_kind,gt_frame,candidate_frame,offset_frames
0,5,5,matched,12835,12834,-1
0,5,5,matched,13067,13066,-1
0,5,5,matched,13115,13114,-1
0,5,5,matched,13145,13144,-1
0,5,5,matched,12852,12850,-2
0,5,5,matched,12907,12905,-2
0,5,5,matched,12975,12971,-4
0,5,5,matched,12995,12991,-4
0,5,5,matched,13037,13033,-4
0,5,5,matched,13100,13096,-4
0,5,5,matched,12771,12766,-5
0,5,5,matched,13009,13004,-5
0,5,5,unmatched_gt,12884,,
0,5,5,unmatched_gt,12949,,
0,5,5,unmatched_candidate,,13185,
0,5,5,unmatched_candidate,,13200,
0,5,5,unmatched_candidate,,13214,
0,5,5,unmatched_candidate,,13265,
0,5,5,unmatched_candidate,,13278,
0,10,10,matched,12835,12834,-1
0,10,10,matched,13067,13066,-1
0,10,10,matched,13115,13114,-1
0,10,10,matched,13145,13144,-1
0,10,10,matched,12852,12850,-2
0,10,10,matched,12907,12905,-2
0,10,10,matched,12975,12971,-4
0,10,10,matched,12995,12991,-4
0,10,10,matched,13037,13033,-4
0,10,10,matched,13100,13096,-4
0,10,10,matched,12771,12766,-5
0,10,10,matched,13009,13004,-5
0,10,10,unmatched_gt,12884,,
0,10,10,unmatched_gt,12949,,
0,10,10,unmatched_candidate,,13185,
0,10,10,unmatched_candidate,,13200,
0,10,10,unmatched_candidate,,13214,
0,10,10,unmatched_candidate,,13265,
0,10,10,unmatched_candidate,,13278,
1,5,5,matched,13637,13636,-1
1,5,5,matched,13722,13723,1
1,5,5,matched,13935,13934,-1
1,5,5,matched,13980,13979,-1
1,5,5,matched,13898,13900,2
1,5,5,matched,14038,14036,-2
1,5,5,matched,13768,13765,-3
1,5,5,matched,13823,13820,-3
1,5,5,matched,13753,13749,-4
1,5,5,matched,14012,14008,-4
1,5,5,unmatched_gt,13699,,
1,5,5,unmatched_gt,13792,,
1,5,5,unmatched_gt,13878,,
1,5,5,unmatched_candidate,,13568,
1,5,5,unmatched_candidate,,13601,
1,5,5,unmatched_candidate,,13612,
1,5,5,unmatched_candidate,,13693,
1,5,5,unmatched_candidate,,14054,
1,10,10,matched,13637,13636,-1
1,10,10,matched,13722,13723,1
1,10,10,matched,13935,13934,-1
1,10,10,matched,13980,13979,-1
1,10,10,matched,13898,13900,2
1,10,10,matched,14038,14036,-2
1,10,10,matched,13768,13765,-3
1,10,10,matched,13823,13820,-3
1,10,10,matched,13753,13749,-4
1,10,10,matched,14012,14008,-4
1,10,10,matched,13699,13693,-6
1,10,10,unmatched_gt,13792,,
1,10,10,unmatched_gt,13878,,
1,10,10,unmatched_candidate,,13568,
1,10,10,unmatched_candidate,,13601,
1,10,10,unmatched_candidate,,13612,
1,10,10,unmatched_candidate,,14054,
2,5,5,matched,14569,14568,-1
2,5,5,matched,14690,14689,-1
2,5,5,matched,14551,14553,2
2,5,5,matched,14643,14640,-3
2,5,5,unmatched_gt,14600,,
2,5,5,unmatched_gt,14617,,
2,5,5,unmatched_candidate,,14625,
2,5,5,unmatched_candidate,,14718,
2,5,5,unmatched_candidate,,14894,
2,5,5,unmatched_candidate,,14915,
2,5,5,unmatched_candidate,,14943,
2,5,5,unmatched_candidate,,14990,
2,5,5,unmatched_candidate,,15068,
2,5,5,unmatched_candidate,,15078,
2,10,10,matched,14569,14568,-1
2,10,10,matched,14690,14689,-1
2,10,10,matched,14551,14553,2
2,10,10,matched,14643,14640,-3
2,10,10,matched,14617,14625,8
2,10,10,unmatched_gt,14600,,
2,10,10,unmatched_candidate,,14718,
2,10,10,unmatched_candidate,,14894,
2,10,10,unmatched_candidate,,14915,
2,10,10,unmatched_candidate,,14943,
2,10,10,unmatched_candidate,,14990,
2,10,10,unmatched_candidate,,15068,
2,10,10,unmatched_candidate,,15078,
3,5,5,unmatched_gt,15175,,
3,5,5,unmatched_gt,15241,,
3,10,10,unmatched_gt,15175,,
3,10,10,unmatched_gt,15241,,
4,5,5,matched,15798,15798,0
4,5,5,matched,15913,15913,0
4,5,5,matched,15984,15984,0
4,5,5,matched,15733,15734,1
4,5,5,matched,15881,15880,-1
4,5,5,matched,15941,15940,-1
4,5,5,matched,16011,16010,-1
4,5,5,matched,15833,15830,-3
4,5,5,matched,15857,15861,4
4,5,5,unmatched_candidate,,15721,
4,5,5,unmatched_candidate,,15818,
4,5,5,unmatched_candidate,,16043,
4,5,5,unmatched_candidate,,16062,
4,5,5,unmatched_candidate,,16126,
4,10,10,matched,15798,15798,0
4,10,10,matched,15913,15913,0
4,10,10,matched,15984,15984,0
4,10,10,matched,15733,15734,1
4,10,10,matched,15881,15880,-1
4,10,10,matched,15941,15940,-1
4,10,10,matched,16011,16010,-1
4,10,10,matched,15833,15830,-3
4,10,10,matched,15857,15861,4
4,10,10,unmatched_candidate,,15721,
4,10,10,unmatched_candidate,,15818,
4,10,10,unmatched_candidate,,16043,
4,10,10,unmatched_candidate,,16062,
4,10,10,unmatched_candidate,,16126,
5,5,5,matched,16723,16723,0
5,5,5,matched,16622,16621,-1
5,5,5,matched,16762,16763,1
5,5,5,matched,16688,16686,-2
5,5,5,matched,16506,16509,3
5,5,5,matched,16580,16583,3
5,5,5,matched,16652,16649,-3
5,5,5,unmatched_gt,16591,,
5,5,5,unmatched_gt,16605,,
5,5,5,unmatched_gt,16789,,
5,5,5,unmatched_candidate,,16574,
5,5,5,unmatched_candidate,,16781,
5,5,5,unmatched_candidate,,16812,
5,5,5,unmatched_candidate,,16829,
5,10,10,matched,16723,16723,0
5,10,10,matched,16622,16621,-1
5,10,10,matched,16762,16763,1
5,10,10,matched,16688,16686,-2
5,10,10,matched,16506,16509,3
5,10,10,matched,16580,16583,3
5,10,10,matched,16652,16649,-3
5,10,10,matched,16789,16781,-8
5,10,10,unmatched_gt,16591,,
5,10,10,unmatched_gt,16605,,
5,10,10,unmatched_candidate,,16574,
5,10,10,unmatched_candidate,,16812,
5,10,10,unmatched_candidate,,16829,
6,5,5,matched,17296,17296,0
6,5,5,matched,17410,17410,0
6,5,5,matched,17436,17435,-1
6,5,5,matched,17519,17518,-1
6,5,5,matched,17382,17378,-4
6,5,5,unmatched_gt,17359,,
6,5,5,unmatched_gt,17469,,
6,5,5,unmatched_candidate,,17265,
6,5,5,unmatched_candidate,,17462,
6,5,5,unmatched_candidate,,17550,
6,5,5,unmatched_candidate,,17582,
6,10,10,matched,17296,17296,0
6,10,10,matched,17410,17410,0
6,10,10,matched,17436,17435,-1
6,10,10,matched,17519,17518,-1
6,10,10,matched,17382,17378,-4
6,10,10,matched,17469,17462,-7
6,10,10,unmatched_gt,17359,,
6,10,10,unmatched_candidate,,17265,
6,10,10,unmatched_candidate,,17550,
6,10,10,unmatched_candidate,,17582,
7,5,5,matched,18354,18353,-1
7,5,5,matched,18443,18442,-1
7,5,5,matched,18472,18471,-1
7,5,5,matched,18517,18514,-3
7,5,5,matched,18546,18542,-4
7,5,5,unmatched_gt,18419,,
7,5,5,unmatched_gt,18491,,
7,5,5,unmatched_candidate,,18558,
7,10,10,matched,18354,18353,-1
7,10,10,matched,18443,18442,-1
7,10,10,matched,18472,18471,-1
7,10,10,matched,18517,18514,-3
7,10,10,matched,18546,18542,-4
7,10,10,unmatched_gt,18419,,
7,10,10,unmatched_gt,18491,,
7,10,10,unmatched_candidate,,18558,
8,5,5,matched,18991,18989,-2
8,5,5,matched,19051,19049,-2
8,5,5,matched,19021,19024,3
8,5,5,matched,19083,19079,-4
8,5,5,matched,18966,18961,-5
8,5,5,unmatched_candidate,,19089,
8,5,5,unmatched_candidate,,19134,
8,10,10,matched,18991,18989,-2
8,10,10,matched,19051,19049,-2
8,10,10,matched,19021,19024,3
8,10,10,matched,19083,19079,-4
8,10,10,matched,18966,18961,-5
8,10,10,unmatched_candidate,,19089,
8,10,10,unmatched_candidate,,19134,
9,5,5,matched,19785,19785,0
9,5,5,matched,19886,19886,0
9,5,5,matched,19547,19546,-1
9,5,5,matched,19646,19645,-1
9,5,5,matched,19939,19938,-1
9,5,5,matched,19803,19801,-2
9,5,5,matched,19698,19695,-3
9,5,5,matched,19730,19727,-3
9,5,5,matched,19760,19757,-3
9,5,5,matched,19830,19827,-3
9,5,5,matched,19863,19866,3
9,5,5,matched,19675,19670,-5
9,5,5,unmatched_gt,19614,,
9,5,5,unmatched_gt,19915,,
9,5,5,unmatched_candidate,,19518,
9,5,5,unmatched_candidate,,19607,
9,5,5,unmatched_candidate,,19907,
9,5,5,unmatched_candidate,,19968,
9,5,5,unmatched_candidate,,19977,
9,5,5,unmatched_candidate,,19990,
9,5,5,unmatched_candidate,,20014,
9,10,10,matched,19785,19785,0
9,10,10,matched,19886,19886,0
9,10,10,matched,19547,19546,-1
9,10,10,matched,19646,19645,-1
9,10,10,matched,19939,19938,-1
9,10,10,matched,19803,19801,-2
9,10,10,matched,19698,19695,-3
9,10,10,matched,19730,19727,-3
9,10,10,matched,19760,19757,-3
9,10,10,matched,19830,19827,-3
9,10,10,matched,19863,19866,3
9,10,10,matched,19675,19670,-5
9,10,10,matched,19614,19607,-7
9,10,10,matched,19915,19907,-8
9,10,10,unmatched_candidate,,19518,
9,10,10,unmatched_candidate,,19968,
9,10,10,unmatched_candidate,,19977,
9,10,10,unmatched_candidate,,19990,
9,10,10,unmatched_candidate,,20014,
10,5,5,unmatched_gt,21146,,
10,5,5,unmatched_gt,21214,,
10,5,5,unmatched_gt,21230,,
10,5,5,unmatched_gt,21258,,
10,5,5,unmatched_gt,21283,,
10,5,5,unmatched_gt,21318,,
10,5,5,unmatched_gt,21339,,
10,10,10,unmatched_gt,21146,,
10,10,10,unmatched_gt,21214,,
10,10,10,unmatched_gt,21230,,
10,10,10,unmatched_gt,21258,,
10,10,10,unmatched_gt,21283,,
10,10,10,unmatched_gt,21318,,
10,10,10,unmatched_gt,21339,,
11,5,5,unmatched_gt,21990,,
11,5,5,unmatched_gt,22222,,
11,5,5,unmatched_gt,22276,,
11,5,5,unmatched_gt,22306,,
11,5,5,unmatched_gt,22351,,
11,5,5,unmatched_gt,22374,,
11,5,5,unmatched_gt,22401,,
11,5,5,unmatched_gt,22437,,
11,5,5,unmatched_gt,22453,,
11,5,5,unmatched_gt,22477,,
11,5,5,unmatched_gt,22505,,
11,5,5,unmatched_gt,22521,,
11,5,5,unmatched_gt,22538,,
11,5,5,unmatched_gt,22573,,
11,10,10,unmatched_gt,21990,,
11,10,10,unmatched_gt,22222,,
11,10,10,unmatched_gt,22276,,
11,10,10,unmatched_gt,22306,,
11,10,10,unmatched_gt,22351,,
11,10,10,unmatched_gt,22374,,
11,10,10,unmatched_gt,22401,,
11,10,10,unmatched_gt,22437,,
11,10,10,unmatched_gt,22453,,
11,10,10,unmatched_gt,22477,,
11,10,10,unmatched_gt,22505,,
11,10,10,unmatched_gt,22521,,
11,10,10,unmatched_gt,22538,,
11,10,10,unmatched_gt,22573,,
12,5,5,matched,23182,23182,0
12,5,5,matched,23452,23452,0
12,5,5,matched,23205,23206,1
12,5,5,matched,23336,23335,-1
12,5,5,matched,23504,23503,-1
12,5,5,matched,23226,23224,-2
12,5,5,matched,23253,23251,-2
12,5,5,matched,23290,23288,-2
12,5,5,matched,23412,23410,-2
12,5,5,matched,23535,23533,-2
12,5,5,matched,23579,23581,2
12,5,5,matched,23311,23308,-3
12,5,5,matched,23383,23380,-3
12,5,5,matched,23551,23548,-3
12,5,5,matched,23363,23358,-5
12,5,5,matched,23474,23469,-5
12,5,5,unmatched_gt,23168,,
12,5,5,unmatched_gt,23610,,
12,5,5,unmatched_candidate,,23649,
12,10,10,matched,23182,23182,0
12,10,10,matched,23452,23452,0
12,10,10,matched,23205,23206,1
12,10,10,matched,23336,23335,-1
12,10,10,matched,23504,23503,-1
12,10,10,matched,23226,23224,-2
12,10,10,matched,23253,23251,-2
12,10,10,matched,23290,23288,-2
12,10,10,matched,23412,23410,-2
12,10,10,matched,23535,23533,-2
12,10,10,matched,23579,23581,2
12,10,10,matched,23311,23308,-3
12,10,10,matched,23383,23380,-3
12,10,10,matched,23551,23548,-3
12,10,10,matched,23363,23358,-5
12,10,10,matched,23474,23469,-5
12,10,10,unmatched_gt,23168,,
12,10,10,unmatched_gt,23610,,
12,10,10,unmatched_candidate,,23649,
13,5,5,unmatched_gt,24302,,
13,5,5,unmatched_gt,24329,,
13,10,10,unmatched_gt,24302,,
13,10,10,unmatched_gt,24329,,
14,5,5,unmatched_gt,24875,,
14,5,5,unmatched_gt,24898,,
14,5,5,unmatched_gt,24929,,
