view	chosen	chosen_parent_ranks	same	parents_before	parents_after	best_cut_place	best_cut_gap	best_cut_ranks	best_cut_px	without_winner_parent_px	notes
am1_window_00_frame_54	line_template:rectangle_98207:template_12/child	line_template#7	True	768	640	105	0.4131	G0#242	30564.6	30.9	
am2_window_00_frame_150	G1:30:137/child	G1#105	True	767	640	10	0.0190	G0#178	9.7	17.4	
am2_window_01_frame_28019	G1:15:0/child	G1#34	True	765	637	-	-	-	-	306.4	
am3_window_00_frame_0	G1:43:171/child	G1#30	True	768	640	124	0.0873	G0#209	65.4	7.6	
am3_window_02_frame_17174	G1:30:220/child	G1#14	True	761	633	210	0.2777	G0#198	112.3	17.7	
gxBQ_window_00_frame_0	G0:22:5053/child	G0#7	True	768	640	75	0.2170	G0#161	58.1	21.1	
gxBQ_window_00_frame_5	line_template:rectangle_85795:template_72/child	line_template#98	True	768	640	7	0.2383	G0#137	7022.9	28.8	
gxBQ_window_00_frame_689	line_template:rectangle_59439:template_10/child	line_template#206	True	761	635	63	0.0782	G0#196	738.6	15.6	
gxBQ_window_03_frame_77876	G0:17:2/child	G0#6	True	766	638	20	0.0511	G0#144	25.5	20.0	
letterboxed_short_frame_78	G0:0:21/child	G0#4	True	516	388	46	0.0470	G0#220	9.1	34.0	
shuttleset_03_scene_0016	G0:1:4532	G0#5 G1#16	True	736	610	344	0.3918	G0#133	774.4	2.3	
shuttleset_03_scene_0017	G1:1:3856	G1#3	True	758	638	137	0.4649	G0#196	848.3	5.1	
shuttleset_03_scene_0019	G1:1:11599/child	G1#25	True	768	640	251	0.4122	G0#129	145.2	1.0	
shuttleset_03_scene_0023	G1:1:14894/child	G1#41	True	702	588	175	0.4026	G0#134	719.7	1.3	
shuttleset_03_scene_0032	G1:1:3627/child	G1#7	True	728	604	244	0.3541	G0#181	432.9	2.0	
shuttleset_03_scene_0034	G1:1:2005	G1#5	True	759	636	165	0.4615	G0#132	74.0	3.4	
shuttleset_21_scene_0034	G0:1:63649/child	G0#10 G1#11	True	701	585	36	0.0900	G0#217	3.9	3.6	
shuttleset_21_scene_0039	G1:1:1480/child	G1#24	True	749	633	306	0.2754	G0#254	51.4	3.0	
shuttleset_21_scene_0044	G0:1:2039/child	G0#1	True	768	640	265	0.3996	G0#158	467.4	3.1	
sset_21_gloiZ_gTJaE_frame_00000001	G0:180:580/child	G0#75 G1#138	True	731	607	93	0.1818	G0#256	143.2	13.7	
sset_21_gloiZ_gTJaE_frame_00000300	-	-	True	256	256	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00009558	-	-	True	256	256	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00014336	line_template:rectangle_173923:template_63/child	line_template#122	True	512	384	2	0.0063	G0#220	323.7	77.1	
sset_21_gloiZ_gTJaE_frame_00023893	-	-	True	256	256	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00038228	-	-	True	351	351	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00062120	-	-	True	256	256	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00090790	-	-	True	256	256	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00100347	G0:197:409	G0#168	False	512	384	1	0.0000	G0#168	0.0	60.3	
# caps {'G0': 128, 'G1': 256}: parents 17463 -> 14711 (84.2% kept)
