view	chosen	chosen_parent_ranks	same	parents_before	parents_after	best_cut_place	best_cut_gap	best_cut_ranks	best_cut_px	without_winner_parent_px	notes
am1_window_00_frame_54	line_template:rectangle_98207:template_12/child	line_template#7	True	768	512	105	0.4131	G0#242	30564.6	30.9	
am2_window_00_frame_150	G1:30:137/child	G1#105	True	767	512	9	0.0152	G1#203	16.1	17.4	
am2_window_01_frame_28019	G1:15:0/child	G1#34	True	765	509	5	0.0074	G1#145	43.4	306.4	
am3_window_00_frame_0	G1:43:171/child	G1#30	True	768	512	2	0.0097	G1#241	7.6	22.7	
am3_window_02_frame_17174	G1:30:220/child	G1#14	True	761	505	2	0.0178	G1#140	17.7	12.1	
gxBQ_window_00_frame_0	G0:22:5053/child	G0#7	True	768	512	31	0.1167	G1#169	37.7	21.1	
gxBQ_window_00_frame_5	line_template:rectangle_85795:template_72/child	line_template#98	True	768	512	7	0.2383	G0#137	7022.9	28.8	
gxBQ_window_00_frame_689	line_template:rectangle_59439:template_10/child	line_template#206	True	761	508	7	0.0132	G1#188	14.5	15.6	
gxBQ_window_03_frame_77876	G0:17:2/child	G0#6	True	766	510	20	0.0511	G0#144	25.5	20.0	
letterboxed_short_frame_78	G0:0:21/child	G0#4	True	516	388	46	0.0470	G0#220	9.1	34.0	
shuttleset_03_scene_0016	G0:1:4532	G0#5 G1#16	True	736	482	63	0.1226	G1#132	5.1	2.3	
shuttleset_03_scene_0017	G1:1:3856	G1#3	True	758	510	107	0.4199	G1#172	336.0	5.1	
shuttleset_03_scene_0019	G1:1:11599/child	G1#25	True	768	512	189	0.3648	G1#142	716.0	1.0	
shuttleset_03_scene_0023	G1:1:14894/child	G1#41	True	702	460	150	0.3693	G1#176	584.3	1.3	
shuttleset_03_scene_0032	G1:1:3627/child	G1#7	True	728	476	36	0.0910	G1#174	9.0	2.0	
shuttleset_03_scene_0034	G1:1:2005	G1#5	True	759	509	53	0.3121	G1#228	138.3	3.4	
shuttleset_21_scene_0034	G0:1:63649/child	G0#10 G1#11	True	701	460	36	0.0900	G0#217	3.9	3.6	
shuttleset_21_scene_0039	G1:1:1480/child	G1#24	True	749	507	25	0.0572	G1#138	3.3	3.0	
shuttleset_21_scene_0044	G0:1:2039/child	G0#1	True	768	512	187	0.3735	G1#135	437.0	3.1	
sset_21_gloiZ_gTJaE_frame_00000001	G0:180:580/child	G0#75 G1#138	True	731	495	11	0.0486	G1#204	11.9	13.7	
sset_21_gloiZ_gTJaE_frame_00000300	-	-	True	256	256	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00009558	-	-	True	256	256	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00014336	line_template:rectangle_173923:template_63/child	line_template#122	True	512	384	2	0.0063	G0#220	323.7	77.1	
sset_21_gloiZ_gTJaE_frame_00023893	-	-	True	256	256	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00038228	-	-	True	351	351	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00062120	-	-	True	256	256	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00090790	-	-	True	256	256	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00100347	G0:197:409	G0#168	False	512	384	1	0.0000	G0#168	0.0	60.3	
# caps {'G0': 128, 'G1': 128}: parents 17463 -> 12302 (70.4% kept)
