window_id,rally_id,edge,window_start,window_end,row_kind,gt_frame,candidate_frame,offset_frames
0,0,first,11421,11540,unmatched_gt,11496,,
1,0,last,11540,11658,matched,11582,11613,31
2,1,first,11806,11924,matched,11881,11894,13
2,1,first,11806,11924,unmatched_candidate,,11919,
3,1,last,11924,12041,matched,11965,11950,-15
3,1,last,11924,12041,unmatched_candidate,,11983,
3,1,last,11924,12041,unmatched_candidate,,11995,
4,2,first,12223,12374,matched,12298,12288,-10
4,2,first,12223,12374,unmatched_candidate,,12330,
4,2,first,12223,12374,unmatched_candidate,,12359,
5,2,last,12867,13018,matched,12942,12967,25
5,2,last,12867,13018,unmatched_candidate,,12873,
5,2,last,12867,13018,unmatched_candidate,,12910,
6,3,first,13359,13479,matched,13434,13431,-3
6,3,first,13359,13479,unmatched_candidate,,13452,
6,3,first,13359,13479,unmatched_candidate,,13475,
7,3,last,13479,13599,matched,13523,13500,-23
7,3,last,13479,13599,unmatched_candidate,,13579,
8,4,first,13848,13999,matched,13923,13917,-6
8,4,first,13848,13999,unmatched_candidate,,13942,
8,4,first,13848,13999,unmatched_candidate,,13976,
9,4,last,14170,14321,matched,14245,14242,-3
9,4,last,14170,14321,unmatched_candidate,,14186,
9,4,last,14170,14321,unmatched_candidate,,14262,
9,4,last,14170,14321,unmatched_candidate,,14272,
9,4,last,14170,14321,unmatched_candidate,,14287,
10,5,first,14868,14990,matched,14943,14939,-4
11,5,last,14990,15111,unmatched_gt,15035,,
12,6,first,15299,15404,unmatched_gt,15374,,
13,6,last,15404,15509,matched,15433,15431,-2
13,6,last,15404,15509,unmatched_candidate,,15466,
13,6,last,15404,15509,unmatched_candidate,,15498,
14,7,first,15729,15843,matched,15804,15835,31
15,7,last,15843,15957,matched,15881,15875,-6
16,8,first,16178,16329,matched,16253,16261,8
16,8,first,16178,16329,unmatched_candidate,,16290,
16,8,first,16178,16329,unmatched_candidate,,16316,
17,8,last,16724,16875,matched,16799,16799,0
17,8,last,16724,16875,unmatched_candidate,,16741,
17,8,last,16724,16875,unmatched_candidate,,16771,
17,8,last,16724,16875,unmatched_candidate,,16831,
18,9,first,17348,17499,matched,17423,17444,21
18,9,first,17348,17499,unmatched_candidate,,17474,
18,9,first,17348,17499,unmatched_candidate,,17493,
19,9,last,17521,17672,matched,17596,17544,-52
20,10,first,17915,18066,matched,17990,17998,8
20,10,first,17915,18066,unmatched_candidate,,18047,
21,10,last,18987,19138,matched,19062,19021,-41
21,10,last,18987,19138,unmatched_candidate,,18989,
22,11,first,19508,19659,matched,19583,19587,4
22,11,first,19508,19659,unmatched_candidate,,19619,
22,11,first,19508,19659,unmatched_candidate,,19651,
23,11,last,20385,20536,matched,20460,20447,-13
23,11,last,20385,20536,unmatched_candidate,,20425,
23,11,last,20385,20536,unmatched_candidate,,20490,
24,12,first,20931,21082,matched,21006,20992,-14
24,12,first,20931,21082,unmatched_candidate,,21020,
24,12,first,20931,21082,unmatched_candidate,,21052,
25,12,last,22005,22156,matched,22080,22079,-1
25,12,last,22005,22156,unmatched_candidate,,22016,
25,12,last,22005,22156,unmatched_candidate,,22046,
25,12,last,22005,22156,unmatched_candidate,,22097,
26,13,first,22983,23134,matched,23058,23092,34
26,13,first,22983,23134,unmatched_candidate,,23115,
27,13,last,23337,23488,matched,23412,23412,0
27,13,last,23337,23488,unmatched_candidate,,23337,
27,13,last,23337,23488,unmatched_candidate,,23375,
28,14,first,23777,23928,matched,23852,23889,37
28,14,first,23777,23928,unmatched_candidate,,23915,
29,14,last,24237,24388,matched,24312,24254,-58
30,15,first,24903,25054,matched,24978,24988,10
30,15,first,24903,25054,unmatched_candidate,,25015,
30,15,first,24903,25054,unmatched_candidate,,25040,
31,15,last,25956,26107,matched,26031,26029,-2
31,15,last,25956,26107,unmatched_candidate,,25967,
31,15,last,25956,26107,unmatched_candidate,,26068,
31,15,last,25956,26107,unmatched_candidate,,26086,
32,16,first,27324,27475,matched,27399,27412,13
32,16,first,27324,27475,unmatched_candidate,,27463,
33,16,last,27653,27804,matched,27728,27699,-29
34,17,first,28160,28311,matched,28235,28233,-2
34,17,first,28160,28311,unmatched_candidate,,28256,
35,17,last,28602,28753,matched,28677,28677,0
35,17,last,28602,28753,unmatched_candidate,,28620,
35,17,last,28602,28753,unmatched_candidate,,28698,
36,18,first,29048,29199,matched,29123,29175,52
37,18,last,29221,29372,matched,29296,29295,-1
37,18,last,29221,29372,unmatched_candidate,,29237,
37,18,last,29221,29372,unmatched_candidate,,29264,
38,19,first,31321,31424,matched,31396,31418,22
39,19,last,31424,31526,matched,31450,31488,38
40,20,first,31678,31791,matched,31753,31758,5
40,20,first,31678,31791,unmatched_candidate,,31787,
41,20,last,31791,31904,matched,31828,31827,-1
41,20,last,31791,31904,unmatched_candidate,,31805,
41,20,last,31791,31904,unmatched_candidate,,31842,
41,20,last,31791,31904,unmatched_candidate,,31873,
41,20,last,31791,31904,unmatched_candidate,,31885,
42,21,first,32290,32441,matched,32365,32389,24
42,21,first,32290,32441,unmatched_candidate,,32405,
42,21,first,32290,32441,unmatched_candidate,,32415,
43,21,last,32493,32644,matched,32568,32596,28
43,21,last,32493,32644,unmatched_candidate,,32500,
43,21,last,32493,32644,unmatched_candidate,,32532,
44,22,first,32951,33102,matched,33026,33046,20
44,22,first,32951,33102,unmatched_candidate,,33072,
44,22,first,32951,33102,unmatched_candidate,,33100,
45,22,last,33102,33252,matched,33176,33174,-2
45,22,last,33102,33252,unmatched_candidate,,33153,
46,23,first,33533,33684,matched,33608,33622,14
46,23,first,33533,33684,unmatched_candidate,,33643,
46,23,first,33533,33684,unmatched_candidate,,33671,
47,23,last,33978,34129,matched,34053,34051,-2
47,23,last,33978,34129,unmatched_candidate,,34026,
47,23,last,33978,34129,unmatched_candidate,,34069,
48,24,first,34821,34972,matched,34896,34949,53
48,24,first,34821,34972,unmatched_candidate,,34968,
49,24,last,35167,35318,matched,35242,35239,-3
49,24,last,35167,35318,unmatched_candidate,,35179,
49,24,last,35167,35318,unmatched_candidate,,35201,
49,24,last,35167,35318,unmatched_candidate,,35215,
49,24,last,35167,35318,unmatched_candidate,,35229,
49,24,last,35167,35318,unmatched_candidate,,35277,
50,25,first,35737,35888,matched,35812,35817,5
50,25,first,35737,35888,unmatched_candidate,,35857,
50,25,first,35737,35888,unmatched_candidate,,35879,
51,25,last,35973,36124,matched,36048,36041,-7
51,25,last,35973,36124,unmatched_candidate,,35973,
51,25,last,35973,36124,unmatched_candidate,,36008,
51,25,last,35973,36124,unmatched_candidate,,36062,
51,25,last,35973,36124,unmatched_candidate,,36082,
51,25,last,35973,36124,unmatched_candidate,,36103,
52,26,first,36487,36638,matched,36562,36573,11
52,26,first,36487,36638,unmatched_candidate,,36596,
52,26,first,36487,36638,unmatched_candidate,,36621,
53,26,last,37648,37799,matched,37723,37721,-2
53,26,last,37648,37799,unmatched_candidate,,37661,
53,26,last,37648,37799,unmatched_candidate,,37685,
53,26,last,37648,37799,unmatched_candidate,,37775,
54,27,first,38311,38449,matched,38386,38425,39
55,27,last,38449,38587,matched,38511,38507,-4
55,27,last,38449,38587,unmatched_candidate,,38463,
55,27,last,38449,38587,unmatched_candidate,,38538,
56,28,first,39739,39890,matched,39814,39804,-10
56,28,first,39739,39890,unmatched_candidate,,39834,
56,28,first,39739,39890,unmatched_candidate,,39888,
57,28,last,40076,40227,matched,40151,40150,-1
57,28,last,40076,40227,unmatched_candidate,,40083,
57,28,last,40076,40227,unmatched_candidate,,40096,
57,28,last,40076,40227,unmatched_candidate,,40123,
57,28,last,40076,40227,unmatched_candidate,,40201,
58,29,first,40538,40689,matched,40613,40609,-4
58,29,first,40538,40689,unmatched_candidate,,40637,
58,29,first,40538,40689,unmatched_candidate,,40686,
59,29,last,41139,41290,matched,41214,41213,-1
59,29,last,41139,41290,unmatched_candidate,,41160,
59,29,last,41139,41290,unmatched_candidate,,41190,
