video,frame,corner_idx,x_px,y_px,x_norm,y_norm,orientation,corner_label,visible,source,fit_rms_px
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,0,145.5,568.875,0.07578125,0.5267361111111111,portrait,tl,1,click,
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,1,625.7423831439058,543.3911860776901,0.3259074912207843,0.5031399871089723,portrait,tr,0,extrapolated,2.895
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,2,1564.125,653.75,0.8146484375,0.6053240740740741,portrait,br,1,click,
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,3,968.7668516548879,1149.985766443079,0.5045660685702541,1.0648016355954435,portrait,bl,0,extrapolated,2.895
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,0,145.5,568.875,0.07578125,0.5267361111111111,portrait,tl,1,click,
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,1,625.7423831439058,543.3911860776901,0.3259074912207843,0.5031399871089723,portrait,tr,0,extrapolated,2.895
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,2,1564.125,653.75,0.8146484375,0.6053240740740741,portrait,br,1,click,
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,3,968.7668516548879,1149.985766443079,0.5045660685702541,1.0648016355954435,portrait,bl,0,extrapolated,2.895
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,0,145.5,568.875,0.07578125,0.5267361111111111,portrait,tl,1,click,
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,1,625.743193828031,543.3669554647314,0.3259079134520995,0.5031175513562328,portrait,tr,0,extrapolated,2.867
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,2,1564.125,653.75,0.8146484375,0.6053240740740741,portrait,br,1,click,
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,3,968.6823404049662,1149.8772310729175,0.5045220522942533,1.064701139882331,portrait,bl,0,extrapolated,2.867
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5766,0,145.5,568.875,0.07578125,0.5267361111111111,portrait,tl,1,click,
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5766,1,625.7005246450547,543.3232604901527,0.3258856899192993,0.5030770930464377,portrait,tr,0,extrapolated,2.912
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5766,2,1564.125,653.75,0.8146484375,0.6053240740740741,portrait,br,1,click,
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5766,3,968.4384141362631,1149.5971156198675,0.504395007362637,1.0644417737220995,portrait,bl,0,extrapolated,2.912
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,77876,0,140.875,567.5,0.07337239583333334,0.5254629629629629,portrait,tl,1,click,
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,77876,1,623.4560815018781,542.3417857825496,0.3247167091155615,0.5021683201690273,portrait,tr,0,extrapolated,2.683
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,77876,2,1564.125,653.75,0.8146484375,0.6053240740740741,portrait,br,1,click,
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,77876,3,969.052994708342,1150.093697934391,0.5047151014105948,1.0649015721614732,portrait,bl,0,extrapolated,2.683
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,86088,0,139.875,567.0,0.0728515625,0.525,portrait,tl,1,click,
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,86088,1,622.4099480944946,542.1893638557743,0.32417184796588255,0.5020271887553466,portrait,tr,0,extrapolated,2.510
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,86088,2,1570.988358327328,654.856988006256,0.8182231032954833,0.6063490629687556,portrait,br,0,extrapolated,2.510
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,86088,3,968.4806771707636,1149.2010698185143,0.5044170193597727,1.0640750646467725,portrait,bl,0,extrapolated,2.510
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5111,0,146.375,568.625,0.07623697916666666,0.5265046296296296,portrait,tl,1,click,
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5111,1,625.4129125479268,543.3578742444183,0.3257358919520452,0.5031091428189058,portrait,tr,0,extrapolated,2.950
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5111,2,1564.125,653.75,0.8146484375,0.6053240740740741,portrait,br,1,click,
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5111,3,968.6725813210852,1149.7508178002174,0.5045169694380652,1.0645840905557569,portrait,bl,0,extrapolated,2.950
