video_id,start_frame,end_frame,upleft_x,upleft_y,upright_x,upright_y,downleft_x,downleft_y,downright_x,downright_y
1,11330,11668,614.1459846496582,462.690954208374,1295.6831359863281,460.1436996459961,461.46812438964844,1009.2449569702148,1460.8733367919922,1017.9898452758789
1,11877,12004,613.8053512573242,463.0313014984131,1295.9259796142578,460.4508590698242,461.4044380187988,1007.6728820800781,1460.1107025146484,1015.9546279907227
1,12287,12986,614.110221862793,462.8170680999756,1296.8012237548828,460.84839820861816,460.2378273010254,1007.662353515625,1460.3640747070312,1016.5110397338867
1,13429,13585,613.9694023132324,462.8836441040039,1296.1608123779297,460.836238861084,460.7692337036133,1008.5781097412109,1460.0614929199219,1016.3571166992188
1,13623,14290,614.1606330871582,462.7484321594238,1296.035499572754,460.354528427124,460.69971084594727,1008.2084655761719,1460.1737594604492,1015.6718444824219
1,14938,15085,614.0446472167969,462.79884338378906,1297.1250915527344,460.9360885620117,460.4640769958496,1007.4890899658203,1460.4350280761719,1016.528434753418
1,15363,15508,614.311637878418,462.8536033630371,1296.2900161743164,460.45555114746094,461.16153717041016,1007.8017425537109,1460.5975341796875,1016.9989013671875
1,15779,15969,614.0849304199219,462.8290557861328,1295.8178329467773,460.37715911865234,460.9309959411621,1007.4488067626953,1460.5389404296875,1017.0652770996094
1,16230,16834,614.1841506958008,462.87036895751953,1296.1946868896484,460.2730464935303,460.5666732788086,1008.2505798339844,1460.4447555541992,1016.6554641723633
1,17420,17662,614.3019676208496,462.5431823730469,1296.1728286743164,460.40021896362305,461.1175346374512,1007.6631546020508,1460.280990600586,1016.2429046630859
1,17980,18133,613.9785003662109,463.1893730163574,1296.2232971191406,460.72829246520996,460.39506912231445,1008.3400726318359,1460.196533203125,1016.1487197875977
1,18166,19134,614.1051292419434,462.88347244262695,1296.064453125,460.015811920166,460.6176280975342,1008.3698272705078,1460.3604125976562,1016.4488983154297
1,19573,20542,614.1415786743164,462.78273582458496,1296.090316772461,460.00176429748535,460.62292098999023,1007.8731536865234,1460.5826568603516,1016.8954467773438
1,20950,21866,614.1506195068359,462.7843379974365,1296.4659118652344,460.73853492736816,460.42041778564453,1008.0865859985352,1460.321044921875,1016.55029296875
1,21913,22147,613.960075378418,463.0429172515869,1296.3926696777344,460.6644058227539,460.2850914001465,1007.6313400268555,1459.8463439941406,1014.8719024658203
1,23053,23470,614.2365646362305,462.77944564819336,1296.1754608154297,460.111083984375,460.8639335632324,1007.8485488891602,1460.720443725586,1017.4658203125
1,23820,24351,614.1993141174316,462.90510177612305,1296.3078689575195,460.777587890625,460.6573677062988,1008.3796691894531,1460.463638305664,1016.8664932250977
1,24975,26095,614.2290115356445,462.8735160827637,1296.1502838134766,460.30426025390625,460.4263114929199,1007.8683471679688,1460.540771484375,1016.8560791015625
1,27392,27779,614.1717910766602,462.7405643463135,1296.1368942260742,460.43907165527344,461.1225700378418,1007.5426483154297,1460.3448486328125,1016.1954116821289
1,28231,28747,614.0378379821777,462.9374027252197,1296.2271881103516,460.3781032562256,460.9192657470703,1007.7731323242188,1460.2228546142578,1016.0666656494141
1,29121,29375,613.9753532409668,462.9242134094238,1296.844367980957,460.9666442871094,460.5554008483887,1007.695426940918,1460.4392623901367,1016.5385055541992
1,31391,31502,613.9548683166504,462.90764808654785,1295.5065536499023,460.5819511413574,461.0030937194824,1008.9710998535156,1460.3260803222656,1017.0298004150391
1,31751,31889,613.9468002319336,463.05530548095703,1296.5526580810547,460.6065273284912,460.7098960876465,1007.4667739868164,1460.3418731689453,1015.8258819580078
1,32340,32628,614.1424942016602,462.9469299316406,1296.1784362792969,460.4802703857422,460.42945861816406,1007.8008270263672,1460.5093002319336,1016.8034362792969
1,32908,33232,614.1166305541992,462.857666015625,1296.0271453857422,460.5105972290039,460.8571243286133,1007.5485992431641,1460.5101013183594,1016.4905548095703
1,33606,34117,614.2222595214844,462.90544509887695,1296.3880920410156,460.4864501953125,461.0643196105957,1007.786979675293,1460.138282775879,1015.7392501831055
1,34891,35097,614.0444183349609,462.9641819000244,1296.024169921875,460.521240234375,460.6644344329834,1008.1338500976562,1460.1922988891602,1015.5951690673828
1,35142,35309,614.007682800293,462.9353713989258,1296.0383605957031,459.9945831298828,460.98398208618164,1007.7607727050781,1460.1578521728516,1015.7135009765625
1,35757,36106,614.2325592041016,462.8075408935547,1296.0012817382812,460.0912857055664,461.0038375854492,1007.3542785644531,1460.654182434082,1016.7050170898438
1,36542,37783,614.1922760009766,462.8806400299072,1296.2905883789062,460.31015396118164,460.62938690185547,1008.0649566650391,1460.3893661499023,1016.3220977783203
1,38366,38581,613.9184188842773,462.8590393066406,1295.954704284668,460.1798629760742,460.45949935913086,1007.8374481201172,1460.4794311523438,1016.8036651611328
